gender,age_group,occupation,Intl_students,degree,fvt_social_media_platform,usage_reason,usage_time,device,interaction,preferred_content,watched_livestream,watched_livestream_frequency,avg_watch_time_livestream,emotional_fullfillment,svp_discovery_method,content_personalization,purchased_product,purchase_frequency,follow_influencers,influencer_inspired_travel ,influencer_inspired_travel _frequency,influencer_travel_trust_score
Female,25-34,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content",Yes,Once a week,Less than 15 minutes,No,"Through platform recommendations, Via social shares by friends or family, By exploring trending sections",3,Yes,Once a month,Yes,Yes,2-3 times,Neutral
Female,25-34,Student (Please specify if you are an international student below),Yes,Post-graduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Comedy and Entertainment, Fashion and Beauty",Yes,Once a month,Less than 15 minutes,Yes,"Through platform recommendations, Via social shares by friends or family",4,Yes,Once a month,Yes,No,Once,Somewhat likely
Female,25-34,Employed,,Post-graduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Educational Content",No,,,No,"Via social shares by friends or family, By exploring trending sections",3,No,,No,No,,Neutral
Female,25-34,Student (Please specify if you are an international student below),Yes,Post-graduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Daily Vlogs and Lifestyle",Yes,Once a month,Less than 15 minutes,Yes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content",4,Yes,Once a month,No,No,,Somewhat likely
Male,25-34,Student (Please specify if you are an international student below),Yes,Post-graduate,Instagram,Entertainment and Leisure,Late Night (12 am - 5 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Educational Content",Yes,Once a month,Less than 15 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family",3,Yes,Once a month,Yes,Yes,2-3 times,Somewhat likely
Male,18-24,Student (Please specify if you are an international student below),Yes,Post-graduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",Yes,Once a week,Less than 15 minutes,Yes,Through platform recommendations,5,No,,No,No,,Neutral
Male,25-34,Employed,,,Instagram,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,"Movies, TV Shows, and Animation",No,2-3 times a day,15 minutes to 30 minutes,No,Through platform recommendations,2,Yes,Once a month,No,No,2-3 times,Neutral
Male,25-34,Unemployed,No,Undergraduate,Instagram,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,Sports and Fitness,No,,15 minutes to 30 minutes,Sometimes,Via social shares by friends or family,3,No,,No,Prefer not to say,,
Male,25-34,Self-employed,Yes,Undergraduate,Facebook,Learning and Education,Morning (5 am - 12 pm),Smartphone,Like,Food and Travel,Yes,Once a day,Less than 15 minutes,Yes,Through platform recommendations,1,Yes,Once a month,Yes,Yes,Once,Very unlikely
Male,25-34,Employed,,Post-graduate,Instagram,Networking and Socializing,Afternoon (12 pm - 5 pm),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",No,Once a day,Less than 15 minutes,Yes,Through platform recommendations,3,No,,Yes,,,
Male,25-34,Employed,No,Undergraduate,Facebook,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Daily Vlogs and Lifestyle, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",Yes,2-3 times a week,15 minutes to 30 minutes,Sometimes,"Through platform recommendations, By searching for specific content",2,Yes,Once a month,Yes,No,,Neutral
Male,25-34,Employed,,,Facebook,Entertainment and Leisure,Morning (5 am - 12 pm),Smartphone,None,"Food and Travel, Sports and Fitness",No,,,No,Through platform recommendations,3,No,,No,No,,Somewhat unlikely
Male,45-54,Employed,,,Other,Networking and Socializing,Evening 5 pm - 12 am),Smartphone,Share,Educational Content,No,,,No,"Via social shares by friends or family, By exploring trending sections",1,No,,No,Prefer not to say,,Neutral
Female,55-64,Employed,,Undergraduate,Facebook,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,All of the above.Mainly liking.,"Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,2-3 times a month,Less than 15 minutes,Sometimes,Scrolling ,4,No,,No,No,,Somewhat unlikely
Female,25-34,Employed,No,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Fashion and Beauty, Educational Content",Yes,Once a week,Less than 15 minutes,No,Through platform recommendations,3,No,,No,No,,Neutral
Male,55-64,Employed,No,Post-graduate,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Sports and Fitness,Yes,Once a day,Less than 15 minutes,Sometimes,By searching for specific content,3,No,,No,No,,Very unlikely
Female,25-34,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content",Yes,Once a month,Less than 15 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content, By exploring trending sections",3,Yes,Once a week,Yes,No,,Somewhat likely
Female,65+,Employed,,,Facebook,Networking and Socializing,Afternoon (12 pm - 5 pm),Laptop/Desktop,Comment,"Comedy and Entertainment, Movies, TV Shows, and Animation, Educational Content",No,,,Sometimes,Via social shares by friends or family,2,No,,No,No,,Neutral
Male,25-34,Employed,No,Post-graduate,Instagram,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",No,Once a day,Less than 15 minutes,Sometimes,"By searching for specific content, By exploring trending sections",3,Yes,Once a month,No,No,Once,Somewhat unlikely
Male,55-64,Employed,No,,Facebook,Learning and Education,Evening 5 pm - 12 am),Laptop/Desktop,Like,"Sports and Fitness, Educational Content, Technology and Gaming",No,2-3 times a day,15 minutes to 30 minutes,Sometimes,Via social shares by friends or family,4,No,,No,Yes,Once,Neutral
Male,25-34,Employed,,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Flick through and watch,"Food and Travel, Daily Vlogs and Lifestyle, Technology and Gaming",No,,,No,Through platform recommendations,3,No,,No,No,,Neutral
Female,35-44,Employed,No,Undergraduate,Facebook,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,2-3 times a day,Less than 15 minutes,Sometimes,Via social shares by friends or family,3,No,,Yes,No,,Somewhat likely
Male,35-44,Employed,,Undergraduate,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",No,Once a day,15 minutes to 30 minutes,Sometimes,Through platform recommendations,4,No,,No,No,,Somewhat likely
Male,45-54,Employed,No,,YouTube (shorts),Learning and Education,Morning (5 am - 12 pm),Laptop/Desktop,Like,Daily Vlogs and Lifestyle,Yes,Once a week,15 minutes to 30 minutes,Sometimes,Via social shares by friends or family,3,Yes,Once a month,No,Yes,Once,Somewhat likely
Male,25-34,Employed,No,Undergraduate,Other,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,"Food and Travel, Movies, TV Shows, and Animation, Technology and Gaming","Yes, No",Once a month,30 minutes to 1 hour,Sometimes,By searching for specific content,3,No,Once a month,Yes,No,,Neutral
Male,35-44,Employed,,,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,just read,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation, Technology and Gaming","Yes, No",,,Sometimes,"Through platform recommendations, Via social shares by friends or family",2,No,,No,No,,Somewhat unlikely
Female,25-34,Employed,No,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation",No,N/A,,No,"Through platform recommendations, By exploring trending sections",4,No,,No,No,,
